시군구코드,시군구명,주요역,대분류,중분류,기준연도,문화시설별ID,대분류명,중분류명,시설명,시설위도,시설경도,주요역위도,주요역경도
11230,동대문구,용산,시니어,온누리상품권,2020,SOT042694,가맹점,회기시장,허허떡집,37.5914289,127.0553384,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT042695,가맹점,회기시장,대성,37.591211,127.056247,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT042696,가맹점,회기시장,우리곰탕,37.5910905,127.0558296,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT042697,가맹점,회기시장,한양슈퍼,37.5911973,127.0556697,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT042698,가맹점,회기시장,영남기름집,37.591124,127.0555121,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT042721,가맹점,서울약령시장,마한물산,37.5814348,127.0372931,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT042767,가맹점,전곡시장,전곡생활용품,37.5776629,127.0691771,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT042768,가맹점,전곡시장,안성상회,37.5776107,127.0694155,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT042769,가맹점,전곡시장,형제상회,37.5773715,127.0687958,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT042785,가맹점,약령시장,한국농산,37.5804624,127.0373849,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT042811,가맹점,경동시장,후암유통,37.5813526,127.0393661,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT042904,가맹점,청량리전통시장,삼성식품,37.5808192,127.0424751,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT042905,가맹점,약령시장,대도약초,37.5788939,127.0373032,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT043040,가맹점,청량리종합시장,남해상회,37.5827998,127.0400495,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT043045,가맹점,답십리시장,충남상회,37.5732768,127.0580696,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT043061,가맹점,서울약령시장,삼일원 건강원,37.5791109,127.037391,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT043095,가맹점,경동시장,현대재료,37.5789304,127.039567,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT043126,가맹점,경동시장,한림유통,37.5826042,127.0381612,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT043209,가맹점,경동시장,상진상회,37.5795966,127.0395019,37.55407301,126.9707021
11230,동대문구,용산,시니어,온누리상품권,2020,SOT043348,가맹점,경동시장,연태상회,37.5791063,127.0401422,37.55407301,126.9707021
