시군구코드,시군구명,주요역,대분류,중분류,기준연도,문화시설별ID,대분류명,중분류명,시설명,시설위도,시설경도,주요역위도,주요역경도
11140,중구,서울,시니어,온누리상품권,2020,SOT027680,가맹점,신당동중앙시장,하얀집,37.5654671,127.019614,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT027719,가맹점,남대문시장,삼성안경,37.5584834,126.9770581,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT027788,가맹점,남대문시장,다가스상사,37.559219,126.9777271,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT027822,가맹점,남대문시장,상호명없음,37.5593922,126.9779625,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028006,가맹점,남대문시장,보령,37.559219,126.9777271,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028097,가맹점,남대문시장,미래상사,37.559219,126.9777271,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028161,가맹점,님대문시장,신씨네,37.5585041,126.9773747,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028201,가맹점,남대문시장,케네디상가,37.5593922,126.9779625,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028235,가맹점,가납시장,숙녀복,37.5628782,127.0095514,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028343,가맹점,남대문시장,일성,37.559219,126.9777271,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028459,가맹점,남대문시장,예원,37.559219,126.9777271,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028539,가맹점,남대문시장,중앙식당,37.559781,126.9770743,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028540,가맹점,남대문시장,크레용아동복상가,37.5596123,126.9784009,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028541,가맹점,남대문시장,남산상회,37.5593947,126.9772041,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028542,가맹점,남대문시장,슈츠르카,37.559219,126.9777271,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028543,가맹점,남대문시장,하나상사,37.559219,126.9777271,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028544,가맹점,남대문시장,007안경,37.5593922,126.9779625,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028552,가맹점,삼익패션타운,대화상사,37.5601849,126.9789816,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028621,가맹점,남대문시장,아이플러스,37.5593922,126.9779625,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028622,가맹점,남대문시장,부르뎅아동복주변,37.559219,126.9777271,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028623,가맹점,남대문시장,강하인삼사,37.559219,126.9777271,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028777,가맹점,남대문시장,남대문인삼,37.5593922,126.9779625,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028819,가맹점,남대문시장,진양상회,37.559219,126.9777271,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028862,가맹점,남대문시장,김종우,37.5593922,126.9779625,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028863,가맹점,남대문시장,골드,37.5589161,126.9781274,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028864,가맹점,남대문시장,늘사랑,37.559219,126.9777271,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT028911,가맹점,서울중앙시장,과일마을,37.5681962,127.0194877,37.55407301,126.9707021
11140,중구,서울,시니어,온누리상품권,2020,SOT029037,가맹점,남대문시장,쥴리엣,37.559219,126.9777271,37.55407301,126.9707021
