시군구코드,시군구명,주요역,대분류,중분류,기준연도,문화시설별ID,대분류명,중분류명,시설명,시설위도,시설경도,주요역위도,주요역경도
26410,금정구,구포,시니어,온누리상품권,2020,SOT035419,가맹점,구서오시게시장,가덕도횟집,35.2473376,129.0897366,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT035420,가맹점,구서오시게시장,충무생선,35.2473374,129.0897585,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT035421,가맹점,구서오시게시장,녹산,35.2473374,129.0897585,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT035438,가맹점,구서오시게시장,일미상회,35.2473376,129.0897366,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT036152,가맹점,장전상가시장,화진,35.2306325,129.0860197,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT036184,가맹점,구서시장,함양침구,35.2473376,129.0897366,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT036185,가맹점,구서시장,주미,35.2473376,129.0897366,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT036189,가맹점,구서시장,아씨손뜨개,35.2473376,129.0897366,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT036190,가맹점,구서시장,옛날아리산,35.2473376,129.0897366,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT036191,가맹점,구서시장,구서건강원,35.2473376,129.0897366,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT036192,가맹점,구서시장,마산식당,35.2473376,129.0897366,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT036193,가맹점,구서시장,진양전기철물,35.2473376,129.0897366,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT036194,가맹점,구서시장,금맥,35.2473376,129.0897366,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT036195,가맹점,구서시장,대장금(대천물산),35.2474059,129.090155,35.11518698,129.0416007
26410,금정구,구포,시니어,온누리상품권,2020,SOT036207,가맹점,구서시장,그린옷수선,35.2473376,129.0897366,35.11518698,129.0416007
