시군구코드,시군구명,주요역,대분류,중분류,기준연도,문화시설별ID,대분류명,중분류명,시설명,시설위도,시설경도,주요역위도,주요역경도
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000018912,자연,자연_가로수길,소월길,37.5546464,126.9773007,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000018913,자연,자연_가로수길,이태원로,37.5350315,126.9734515,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000032159,자연,자연_공원,근린공원,37.5306106,126.9535105,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000032514,자연,자연_공원,소월길공원,37.5435649,126.9893692,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000032624,자연,자연_공원,신계역사공원,37.5355467,126.966288,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000034230,자연,자연_공원,용산역광장,37.5289186,126.96538,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000034873,자연,자연_공원,이태원부군당역사공원,37.5362238,126.9895998,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000034984,자연,자연_공원,청파어린이공원,37.5535484,126.9683123,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000035140,자연,자연_공원,청파동1마을공원,37.542915,126.968561,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000035273,자연,자연_공원,매봉산공원,37.5434642,127.0076747,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000037216,자연,자연_공원,효칭독립100년공원(2024년1월예정),37.5399784,126.9607602,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000038411,자연,자연_공원,새나라공원,37.5480646,126.9763935,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000038422,자연,자연_공원,청파공원,37.5539412,126.9673775,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000038800,자연,자연_공원,효창공원,37.5451121,126.9612547,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000039086,자연,자연_공원,용산가족공원,37.5212203,126.9837821,37.55407301,126.9707021
11170,용산구,용산,나홀로,자전거산책,2020,KCBRSPO20N000039112,자연,자연_공원,이촌한강공원,37.5157768,126.9739381,37.55407301,126.9707021
11170,용산구,용산,가족,아동서점,2020,KCKBSPO20N000000119,아동도서,아동전집,한국서점,37.5338506,126.9500493,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000000548,장소,관광지/먹거리/패션거리,해방촌예술마을,37.54625669,126.9817231,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000001079,장소,관광지/일반관광지,CBS챌린저캠프,37.55048434,126.966953,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000001699,장소,관광지/먹거리/패션거리,장진우거리,37.54098617,126.9915166,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000001724,장소,관광지/토속/특산물/기념품매장,고향뜨락,37.55334627,126.9709132,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000002329,장소,관광지/먹거리/패션거리,이태원거리,37.53515383,126.9971034,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000003386,장소,관광지/지역사찰,청학사,37.53223636,126.9912368,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000003536,장소,관광지/먹거리/패션거리,한남동카페거리,37.53697103,127.0015847,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000003548,장소,관광지/토속/특산물/기념품매장,진양공예,37.53448366,126.9907051,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000005887,장소,관광지/지역축제,전쟁기념관어린이날문화축제,37.53726294,126.9770856,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000005969,장소,관광지/토속/특산물/기념품매장,BB토산물,37.53481549,126.993692,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000006460,장소,관광지/지역사찰,보광사,37.52714031,126.9973877,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000006593,장소,관광지/일반관광지,순헌황귀비길,37.54515872,126.9651599,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000007311,장소,관광지/먹거리/패션거리,고가구골목,37.53332429,126.9943014,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000007753,장소,관광지/먹거리/패션거리,저팬타운,37.52039628,126.9723999,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000007761,장소,관광지/먹거리/패션거리,남영동스테이크골목,37.54393772,126.9732326,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000008126,장소,관광지/지역사찰,황성정사,37.52245226,126.9959683,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000009544,장소,관광지/일반관광지,서울단풍길,37.54453821,127.0020707,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000010109,장소,관광지/지역사찰,구경사,37.52634791,127.0022795,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000010115,장소,관광지/일반관광지,남산서울타워한복문화체험관,37.55120196,126.9882341,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000010128,장소,관광지/먹거리/패션거리,용리단길,37.53140714,126.9715184,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000010687,장소,관광지/지역사찰,불광사,37.53264677,126.9978135,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000010942,장소,관광지/식물원,남산공원남산야외식물원,37.54321009,126.9945,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000011234,장소,관광지/먹거리/패션거리,이태원쇼핑거리,37.53431282,126.9914508,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000011907,장소,관광지/일반관광지,서울단풍길,37.54349389,126.9945128,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000012368,장소,관광지/먹거리/패션거리,세계음식특화거리,37.53499153,126.9933781,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000012435,장소,관광지/일반관광지,비상대비체험관,37.53733654,126.9784621,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000012477,장소,관광지/일반관광지,남이장군로,37.53676697,126.9581993,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000012843,장소,관광지/지역사찰,대한불교진각종관음심인당,37.53079919,126.9703754,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000013054,장소,관광지/지역축제,황금인간의땅카자흐스탄,37.52406754,126.9803609,37.55407301,126.9707021
11170,용산구,용산,가족,관광명소,2021,KCLANPO21N000013058,장소,관광지/먹거리/패션거리,우사단길,37.53290802,126.997991,37.55407301,126.9707021
