,시군구코드,시군구명,주요역,대분류,중분류,기준연도,문화시설별ID,대분류명,중분류명,시설명,시설위도,시설경도,주요역위도,주요역경도,시설_placeid
831,11140,중구,서울,시니어,온누리상품권,2020,SOT056437,가맹점,동평화상가,랑띠,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
832,11140,중구,서울,시니어,온누리상품권,2020,SOT056438,가맹점,동평화상가,포제이,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
833,11140,중구,서울,시니어,온누리상품권,2020,SOT056439,가맹점,동평화상가,화밀화,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
834,11140,중구,서울,시니어,온누리상품권,2020,SOT056440,가맹점,동평화상가,투투,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
835,11140,중구,서울,시니어,온누리상품권,2020,SOT056441,가맹점,동평화상가,동평화1층매점,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
836,11140,중구,서울,시니어,온누리상품권,2020,SOT056442,가맹점,동평화상가,끌레르,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
837,11140,중구,서울,시니어,온누리상품권,2020,SOT056443,가맹점,동평화상가,미린양말,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
838,11140,중구,서울,시니어,온누리상품권,2020,SOT056444,가맹점,동평화상가,호빈나,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
839,11140,중구,서울,시니어,온누리상품권,2020,SOT056447,가맹점,서울중앙시장,자이언트,37.5680864,127.01821,37.55407301,126.9707021,ChIJgxd-xkejfDURLLZ_iXstWhw
840,11140,중구,서울,시니어,온누리상품권,2020,SOT056451,가맹점,신평화패션타운,다모아,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
841,11140,중구,서울,시니어,온누리상품권,2020,SOT056452,가맹점,신평화패션타운,미희네,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
842,11140,중구,서울,시니어,온누리상품권,2020,SOT056453,가맹점,신평화패션타운,실로암상사,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
843,11140,중구,서울,시니어,온누리상품권,2020,SOT056454,가맹점,신평화패션타운,구일사,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
844,11140,중구,서울,시니어,온누리상품권,2020,SOT056455,가맹점,신평화패션타운,앙스,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
845,11140,중구,서울,시니어,온누리상품권,2020,SOT056456,가맹점,신평화패션타운,세소미,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
846,11140,중구,서울,시니어,온누리상품권,2020,SOT056457,가맹점,신평화패션타운,밀라노,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
847,11140,중구,서울,시니어,온누리상품권,2020,SOT056458,가맹점,신평화패션타운,하얀돌,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
848,11140,중구,서울,시니어,온누리상품권,2020,SOT056459,가맹점,신평화패션타운,풍경,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
849,11140,중구,서울,시니어,온누리상품권,2020,SOT056460,가맹점,신평화패션타운,빨강양말,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
850,11140,중구,서울,시니어,온누리상품권,2020,SOT056461,가맹점,신평화패션타운,신성사,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
851,11140,중구,서울,시니어,온누리상품권,2020,SOT056462,가맹점,신평화패션타운,포미,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
852,11140,중구,서울,시니어,온누리상품권,2020,SOT056463,가맹점,신평화패션타운,삼경사,37.5694367,127.0115814,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
853,11140,중구,서울,시니어,온누리상품권,2020,SOT056464,가맹점,동평화상가,코니,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
854,11140,중구,서울,시니어,온누리상품권,2020,SOT056465,가맹점,동평화상가,아망떼,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
855,11140,중구,서울,시니어,온누리상품권,2020,SOT056468,가맹점,남평화상가,봄여름가을겨울,37.5691692,127.0108378,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
856,11140,중구,서울,시니어,온누리상품권,2020,SOT056469,가맹점,동평화상가,피네,37.5692746,127.0137456,37.55407301,126.9707021,ChIJUZsvmxOjfDURCLZJvBgWV2w
857,11140,중구,서울,시니어,온누리상품권,2020,SOT056470,가맹점,삼익패션타운,삼익패션안경,37.5601849,126.9789816,37.55407301,126.9707021,ChIJvRDRQvSifDURGShIbVZOBqs
858,11140,중구,서울,시니어,온누리상품권,2020,SOT056471,가맹점,삼익패션타운,쎈스,37.5601849,126.9789816,37.55407301,126.9707021,ChIJvRDRQvSifDURGShIbVZOBqs
859,11140,중구,서울,시니어,온누리상품권,2020,SOT056473,가맹점,남대문시장,파스텔,37.5600479,126.9777271,37.55407301,126.9707021,ChIJjX0mi1-ifDURKxToYZqA7kg
860,11140,중구,서울,시니어,온누리상품권,2020,SOT056474,가맹점,신평화패션타운,새로나,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
