시군구코드,시군구명,주요역,대분류,중분류,기준연도,문화시설별ID,대분류명,중분류명,시설명,시설위도,시설경도,주요역위도,주요역경도
26500,수영구,부산,시니어,온누리상품권,2020,SOT090408,가맹점,남천해변시장,커피향기,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT090409,가맹점,남천해변시장,시장식육점,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT090410,가맹점,남천해변시장,할매상회,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT090411,가맹점,남천해변시장,석환상회,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT090412,가맹점,남천해변시장,남천상회,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT090420,가맹점,남천해변시장,경북상회,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT090421,가맹점,남천해변시장,남해상회,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT090422,가맹점,남천해변시장,양산상회,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT090423,가맹점,남천해변시장,보광상회,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT090424,가맹점,남천해변시장,대풍상회,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT090425,가맹점,남천해변시장,미경상회,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT092429,가맹점,남천해변시장,포항상회,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT092430,가맹점,남천해변시장,김해상회,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT092431,가맹점,남천해변시장,경남상회,35.1391585,129.1091201,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095231,가맹점,민락골목시장,부산즉석어묵,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095232,가맹점,민락골목시장,고려인삼,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095233,가맹점,민락골목시장,충남상회,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095234,가맹점,민락골목시장,밀양분식,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095235,가맹점,민락골목시장,은정상회,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095236,가맹점,민락골목시장,대광당,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095237,가맹점,민락골목시장,원광식육,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095238,가맹점,민락골목시장,만물생선마트,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095239,가맹점,민락골목시장,청담,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095240,가맹점,민락골목시장,동방베이커리,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095241,가맹점,민락골목시장,울진상회,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095242,가맹점,민락골목시장,삼영당,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095243,가맹점,민락골목시장,숙희네,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095251,가맹점,민락골목시장,동명청과,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095252,가맹점,민락골목시장,성호네치킨,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095253,가맹점,민락골목시장,봉식이족발,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095254,가맹점,민락골목시장,경영수산,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095255,가맹점,민락골목시장,봉황상회,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095256,가맹점,민락골목시장,권보석,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095257,가맹점,민락골목시장,허니,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095258,가맹점,민락골목시장,즉석어묵,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095259,가맹점,민락골목시장,민락족발전문점,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095260,가맹점,민락골목시장,산곰장어,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095261,가맹점,민락골목시장,영아떡방,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095262,가맹점,민락골목시장,원조민락김치,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095263,가맹점,민락골목시장,대구상회,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095264,가맹점,민락골목시장,형제건강원,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095265,가맹점,민락골목시장,깜둥이상회,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095266,가맹점,민락골목시장,친구수산,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095354,가맹점,민락골목시장,영천건강원,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095355,가맹점,민락골목시장,북경손만두,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095361,가맹점,민락골목시장,성신떡방앗간,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095362,가맹점,민락골목시장,닭날다강정,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095363,가맹점,민락골목시장,루아,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095364,가맹점,민락골목시장,잎새,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095365,가맹점,민락골목시장,갯마을수산,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095366,가맹점,민락골목시장,진양이불,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095367,가맹점,민락골목시장,장수건강원,35.157811,129.1225111,35.11518698,129.0416007
26500,수영구,부산,시니어,온누리상품권,2020,SOT095368,가맹점,민락골목시장,엘라,35.157811,129.1225111,35.11518698,129.0416007
