시군구코드,시군구명,주요역,대분류,중분류,기준연도,문화시설별ID,대분류명,중분류명,시설명,시설위도,시설경도,주요역위도,주요역경도
46130,여수시,여수엑스포,가족,관광명소,2021,KCLANPO21N000026595,장소,관광지/지역호수/저수지,산곡제,34.83722933,127.6035972,34.75306867,127.7489827
46130,여수시,여수엑스포,가족,관광명소,2021,KCLANPO21N000026600,장소,관광지/지역사찰,해불사,34.82106442,127.7673344,34.75306867,127.7489827
46130,여수시,여수엑스포,가족,관광명소,2021,KCLANPO21N000026930,장소,관광지/일반관광지,여자만해넘이전망대,34.63700946,127.5759553,34.75306867,127.7489827
46130,여수시,여수엑스포,가족,관광명소,2021,KCLANPO21N000027079,장소,관광지/지역사찰,쌍용사,34.76328036,127.6467157,34.75306867,127.7489827
46130,여수시,여수엑스포,가족,관광명소,2021,KCLANPO21N000027278,장소,관광지/지역사찰,연화사,34.74272007,127.7155768,34.75306867,127.7489827
46130,여수시,여수엑스포,가족,관광명소,2021,KCLANPO21N000028184,장소,관광지/지역호수/저수지,화태소류지,34.5846893,127.73184,34.75306867,127.7489827
46130,여수시,여수엑스포,가족,관광명소,2021,KCLANPO21N000028315,장소,관광지/해수욕장,만성리해수욕장,34.77696462,127.7448134,34.75306867,127.7489827
46130,여수시,여수엑스포,가족,관광명소,2021,KCLANPO21N000028514,장소,관광지/지역사찰,천은사,34.74288783,127.7276084,34.75306867,127.7489827
46130,여수시,여수엑스포,가족,관광명소,2021,KCLANPO21N000028871,장소,관광지/지역사찰,청량사,34.73007782,127.7488772,34.75306867,127.7489827
46130,여수시,여수엑스포,가족,관광명소,2021,KCLANPO21N000028915,장소,관광지/일반유원지/일반놀이공원,동백유원지,34.68491302,127.7762985,34.75306867,127.7489827
46130,여수시,여수엑스포,가족,관광명소,2021,KCLANPO21N000029209,장소,관광지/지역축제,영취산진달래축제,34.84353229,127.7192155,34.75306867,127.7489827
46130,여수시,여수엑스포,가족,관광명소,2021,KCLANPO21N000029963,장소,관광지/먹거리/패션거리,오동도방파제길,34.74261171,127.7586818,34.75306867,127.7489827
46130,여수시,여수엑스포,가족,관광명소,2021,KCLANPO21N000029971,장소,관광지/지역호수/저수지,미평저수지,34.7753475,127.7137692,34.75306867,127.7489827
