시군구코드,시군구명,주요역,대분류,중분류,기준연도,문화시설별ID,대분류명,중분류명,시설명,시설위도,시설경도,주요역위도,주요역경도
26200,영도구,구포,장애우,장애우친화시설,2020,KCDCOPO20N000000493,무장애장소,무장애장소_실외,태종대 (부산 국가지질공원),35.0582842,129.0850811,35.11518698,129.0416007
26200,영도구,구포,장애우,장애우친화시설,2020,KCDCOPO20N000000494,무장애장소,무장애장소_실외,태종대온천찜질방,35.064589,129.0787787,35.11518698,129.0416007
26200,영도구,구포,장애우,장애우친화시설,2020,KCDCOPO20N000000511,무장애장소,무장애장소_실외,75광장,35.0706213,129.058222,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_01167,,,예림서점,35.0723341,129.066363,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_01866,,,극단 오즈,35.083857,129.044329,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_01903,,,덕수모텔,35.092671,129.039605,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_01934,,,영도기독서점,35.088526,129.040674,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_02466,,,4D영상관 -(주)한국비쥬얼싸이언스연구소 부산지점,35.0785634,129.080245,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_02731,,,산해모텔,35.079611,129.070521,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_03067,,,9모텔,35.090306,129.038417,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_03579,,,리베모텔,35.092012,129.041954,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_03950,,,부산비치모텔,35.069383,129.080956,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_04365,,,하얀성모텔,35.068824,129.081474,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_04634,,,교양당서점,35.088496,129.044403,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_05320,,,고신대구내서점 기쁨의집,35.078079,129.063831,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_05948,,,(주)에브리여행사,35.095925,129.044256,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_06237,,,그린별장,35.0919839,129.042286,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_06412,,,탑모텔,35.091889,129.042254,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_07807,,,녹원장여관,35.090644,129.041328,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_08066,,,블루모텔,35.090696,129.038434,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_09447,,,영도문화예술회관,35.075337,129.066011,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_10013,,,큐모텔,35.097244,129.060734,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_10032,,,종점유람선매표소,35.063091,129.081571,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_10643,,,예모갤러리,35.0963924,129.061878,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_10665,,,한국해양대학교 소비자생활협동,35.076088,129.089433,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_10864,,,(주)태종대온천,35.064534,129.079981,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_12782,,,대성사진관,35.08826,129.041535,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_12783,,,환상스튜디오,35.092475,129.039599,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_13701,,,여명사진관,35.0795071,129.070394,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_15797,,,포힐 주식회사,35.090688,129.038675,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_16008,,,한바다볼링장,35.068632,129.080812,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_16622,,,토토볼링장,35.09007,129.035847,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_17286,,,삼천리자전거 영도점,35.090416,129.043207,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_19110,,,태종대유원지(부산관광공사),35.0596933,129.079806,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_19169,,,고고바이크,35.0937002,129.037333,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_20080,,,옥사이드(헬스장),35.078687,129.070288,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_22107,,,사진공간 돈키호테,35.0783887,129.0717466,35.11518698,129.0416007
26200,영도구,구포,장애우,문화누리카드,2021,KC_615_22254,,,영도국민체육센터,35.0752297,129.0663893,35.11518698,129.0416007
26200,영도구,구포,시니어,시니어나들이,2020,KCOWRPO20N000001933,무장애장소,무장애장소,태종대 전망대,35.0503991,129.0883893,35.11518698,129.0416007
